"Sighting_ID","Observer_ID","Date","Time","Site_Code","Latitude","Longitude","Species_Common","Species_Code","Status","Band_Color","Tag_Flag","Bird_ID","Distance_m","Age_Class","Age_Code","Sex","Sex_Code","Release_Year","Release_Cohort"
"S000001","O07",2025-06-16,"10:54","BR",43.59789,-116.1946,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,24.2,"Hatch-year",1,"F",1,NA,NA
"S000002","O03",2025-05-17,"06:53","LC",43.57925,-116.17992,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,41.7,"Hatch-year",1,"F",1,NA,NA
"S000003","O07",2025-06-12,"05:07","BR",43.62031,-116.19887,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,70.5,"Unknown",99,NA,NA,NA,NA
"S000004","O09",2025-07-10,"08:42","NP",43.66764,-116.16449,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,99.8,"Second-year",2,"F",1,NA,NA
"S000005","O10",2025-04-03,"06:51","WC",43.61614,-116.17675,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,110.8,"Unknown",99,"M",2,NA,NA
"S000006","O10",2025-04-05,"05:53","LC",43.58427,-116.17562,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,15.2,"Second-year",2,"F",1,NA,NA
"S000007","O02",2025-06-23,"09:13","LC",43.58027,-116.18325,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,80,"Adult",3,"F",1,NA,NA
"S000008","O04",2025-07-17,"06:20","BR",43.60819,-116.20863,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,NA,"Unknown",99,"F",1,NA,NA
"S000009","O02",2025-07-11,"05:21","LC",43.56428,-116.18469,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,115.2,"Adult",3,NA,NA,NA,NA
"S000010","O11",2025-07-06,"06:32","BR",43.60643,-116.21674,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,105.4,"Second-year",2,"M",2,NA,NA
"S000011","O08",2025-05-28,"09:34","MR",43.64289,-116.23134,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,32.1,"Adult",3,"M",2,NA,NA
