decile,whp_range,area_km2,area_acres,area_pct
1,0–30.421875,21640.0063136667,5347362.004981016,10.004
2,30.4375–89.90625,21623.645737770945,5343319.218640915,9.996
3,89.921875–169.6875,21632.584161534905,5345527.951250648,10
4,169.703125–261.859375,21629.94109430164,5344874.835114963,9.999
5,261.875–397.296875,21631.557526718825,5345274.264263273,10
6,397.3125–585.609375,21632.87949732691,5345600.930314055,10.001
7,585.625–870.46875,21630.69104824215,5345060.152769166,10
8,870.484375–1440.046875,21630.9248178266,5345117.918491397,10
9,1440.0625–3507.46875,21631.668630894274,5345301.718702878,10
10,3507.484375–64185.65625,21631.426743373275,5345241.946994842,10
