ID,mean_whp,county_fips,county
2,6556.928280952877,049,Idaho
8,3738.7135265041243,083,Twin Falls
22,3492.6232566948097,031,Cassia
13,2996.3387269768714,025,Camas
17,2765.6155635414466,087,Washington
26,2627.3487625262364,071,Oneida
29,2588.588850647629,047,Gooding
23,2397.961864321017,077,Power
4,2116.9384377239885,005,Bannock
9,2016.6828356163828,003,Adams
7,1719.5333608696164,043,Fremont
42,1718.933634686983,045,Gem
38,1449.5170266934317,001,Ada
6,1418.7189896696632,041,Franklin
14,1229.6806297312035,015,Boise
5,1176.2280655158936,039,Elmore
3,1153.8665208533077,085,Valley
40,1100.272777645871,063,Lincoln
43,1021.1112024309317,075,Payette
20,1013.8378196088659,059,Lemhi
18,823.2656470897459,035,Clearwater
21,767.5758524380908,033,Clark
1,754.6138279487476,073,Owyhee
15,669.8535532348643,029,Caribou
39,580.1818175857836,011,Bingham
31,465.2552267321885,021,Boundary
12,426.1122389438447,061,Lewis
41,389.7714401070506,053,Jerome
34,379.6947171927634,017,Bonner
25,361.96826901749125,079,Shoshone
36,316.5510482333056,019,Bonneville
10,288.88030277445836,069,Nez Perce
11,283.7634885118609,013,Blaine
32,257.9967044833921,081,Teton
33,236.91728400479073,057,Latah
30,220.77836150063496,037,Custer
44,210.09600753697384,067,Minidoka
16,187.2873076084413,007,Bear Lake
27,177.69047669599485,055,Kootenai
35,157.82233441807045,009,Benewah
37,151.13251295011065,051,Jefferson
24,134.070126149922,023,Butte
28,127.87352714863023,065,Madison
19,92.79843847897395,027,Canyon
