whp,county,county_fips,cell_area_km2
2794.515625,Idaho,049,0.05759996920824051
81.328125,Butte,023,0.05759957805275917
391.609375,Boundary,021,0.05760004371404648
329.703125,Lewis,061,0.05759985372424126
696,Owyhee,073,0.05759993940591812
292.421875,Shoshone,079,0.05759997293353081
65.34375,Custer,037,0.05759997293353081
3428.71875,Owyhee,073,0.05760001763701439
148.203125,Fremont,043,0.05759904161095619
307,Butte,023,0.05759960040450096
31.546875,Custer,037,0.05759997293353081
539.265625,Gem,045,0.05759997293353081
89.078125,Lemhi,059,0.057599689811468124
2631.1875,Owyhee,073,0.0575999952852726
32.46875,Caribou,029,0.05759985372424126
1471.859375,Adams,003,0.057600025087594986
82.546875,Latah,057,0.057599958032369614
53.3125,Jerome,053,0.057599980384111404
219.421875,Bonner,017,0.05759972333908081
38.8125,Caribou,029,0.057600121945142746
1300.375,Franklin,041,0.057600025087594986
765,Bingham,011,0.05760003253817558
1272.28125,Twin Falls,083,0.05760004743933678
724.546875,Boise,015,0.05759982392191887
652.46875,Boise,015,0.0575999841094017
8839.25,Idaho,049,0.05759992450475693
517.796875,Owyhee,073,0.05759993568062782
1042.53125,Fremont,043,0.05760094150900841
125.9375,Custer,037,0.057600002735853195
4150.28125,Lemhi,059,0.0575999952852726
155.671875,Lemhi,059,0.05760021135210991
0,Fremont,043,0.05760166421532631
5204.765625,Franklin,041,0.05760019272565842
503.46875,Blaine,013,0.05759992450475693
722.375,Boise,015,0.057599879801273346
143.828125,Shoshone,079,0.05760001391172409
1054.3125,Clark,033,0.05760010704398155
164.125,Benewah,009,0.0575999990105629
4402.984375,Bannock,005,0.05760025605559349
574.984375,Elmore,039,0.05760014429688454
272.75,Boise,015,0.05759989097714424
324.15625,Bingham,011,0.057600054889917374
1065.078125,Bannock,005,0.05760013684630394
712.328125,Elmore,039,0.057600073516368866
286.921875,Kootenai,055,0.057600606232881546
1099.78125,Clearwater,035,0.05759996175765991
789.046875,Valley,085,0.057599861174821854
197.03125,Bonner,017,0.057600196450948715
27.9375,Custer,037,0.05759984999895096
460.890625,Elmore,039,0.05760011821985245
1105.328125,Owyhee,073,0.0575999915599823
1338.390625,Power,077,0.05759996548295021
587.03125,Owyhee,073,0.05760004371404648
9876.921875,Idaho,049,0.057599954307079315
953.6875,Owyhee,073,0.05760008469223976
1277.625,Lemhi,059,0.05760002136230469
597.84375,Custer,037,0.0575999841094017
484.578125,Bingham,011,0.05760003253817558
425.6875,Clearwater,035,0.057600073516368866
0,Madison,065,0.05759977176785469
360.359375,Washington,087,0.05759994685649872
0,Minidoka,067,0.05759991705417633
143.921875,Bannock,005,0.05760036036372185
1818.640625,Power,077,0.05760009214282036
760.703125,Owyhee,073,0.057599980384111404
583.625,Lewis,061,0.05759987607598305
187.828125,Blaine,013,0.05760001391172409
129.546875,Jefferson,051,0.0575997531414032
2720.4375,Gem,045,0.05760002136230469
1362.546875,Franklin,041,0.057600054889917374
37.75,Cassia,031,0.057600054889917374
875.359375,Oneida,071,0.05759982019662857
943.3125,Custer,037,0.057600103318691254
367.640625,Washington,087,0.057600051164627075
88.25,Blaine,013,0.057599928230047226
2645.609375,Lemhi,059,0.05760003253817558
343.984375,Jerome,053,0.05759995058178902
0,Bonneville,019,0.057599954307079315
2597.890625,Boundary,021,0.05760040134191513
561.875,Owyhee,073,0.057600002735853195
21.375,Custer,037,0.05759979039430618
427.984375,Owyhee,073,0.0575999990105629
193.796875,Minidoka,067,0.057600002735853195
406.265625,Latah,057,0.05760009214282036
34547.171875,Idaho,049,0.05759993940591812
819.640625,Cassia,031,0.0575999915599823
2300.1875,Valley,085,0.057599987834692
185.40625,Owyhee,073,0.057599980384111404
282.765625,Oneida,071,0.05759968236088753
18.171875,Custer,037,0.05760003626346588
270.125,Cassia,031,0.05760003253817558
266.265625,Idaho,049,0.05759972333908081
201.203125,Kootenai,055,0.05759997293353081
648.921875,Cassia,031,0.05759991705417633
1260.734375,Boise,015,0.05760006979107857
11124.90625,Cassia,031,0.05760009586811066
615.78125,Shoshone,079,0.0575999990105629
214.21875,Power,077,0.05760003626346588
7574.578125,Twin Falls,083,0.05759996175765991
29871.859375,Idaho,049,0.05760004743933678
825.90625,Gooding,047,0.05760004371404648
321.4375,Elmore,039,0.05759986862540245
